,"@, username",liked post (0/1)
0,endygamedev_,1
1,drobakhinvyacheslav,1
2,vyacheslavcreator,0
3,noktaerien_rsi,0
4,amvitalik,0
5,sasha_prutz,0
6,alb3_6,0
7,hamitov_aleks,1
8,_said.03,0
9,ksushareally,0
10,olshanskaya,0
11,avtowashcar,0
12,satanivan,0
13,andreevskygreg,0
14,sovietblyad,0
15,veta.sheina,0
16,julia_skymbri,0
17,falafelking24,0
18,annkobyakova,0
19,arishauvarova,1
20,meezoone,1
21,viper_tattoo,0
22,a.steputenko,0
23,purpur.loungebar,0
24,yogini_durga,1
25,chereshnya_new,0
26,masha.girl42,0
27,geoorginius,0
28,ksenia_kirillovna,0
29,p_l_us,0
30,box_v_podarok_spb,0
31,slavchik_host,1
32,ann_mokeeva,0
33,anapakavkaz2021,0
34,bron78967,0
35,serdobintseva,0
36,larisabessonova4,0
37,artemij_com,0
38,titova_nasty2701,0
39,gultatty,0
40,galazovazarina,0
41,_58_ternovoyfan,0
42,rasulbekuulukutma,0
43,szemcova8,0
44,__lady._.bag__,0
45,yevgeniybronnikov,1
46,goldiplaya,0
47,iokatype,0
48,alexlurye,0
49,theatraxx,0
50,mia_top_555,1
51,tattoo_li2,0
52,romanovlad,0
53,viktori.videophoto,0
54,lina_st,1
55,shvmpvnskii,1
56,bronnik_555,1
57,jennykor,0
58,proida,1
59,p0p0va__26,0
60,vadimyakushin,1
61,ilyamikki,0
62,olya_the_fire,0
63,speranskayaadelina,0
64,letsgrape,0
65,cvetochnajalavka,0
66,daria.belevtseva,1
67,mapacheyo,1
68,helga_katz,1
69,belle_cherie888,1
70,natali__rsi,1
71,dashaamikhailova,1
72,_fotofresh_,0
73,_alanito_,0
74,viki.chiki,0
75,allight.design,0
76,safron4ik1,1
77,denis_dekor,1
78,aleksei.svechkar,1
79,ama.poli,1
80,simplychips.spb,0
81,sj420fj,0
82,deepak6543kumard,0
83,bro_812,0
84,_vrzalov_,1
85,yana_g69,0
86,mukharyamov_a,1
87,petrus_025,0
88,amigos_de_inst,0
89,denis_sever,1
90,doctor__sergeenko,0
91,miss.__olya,1
92,vovamenkov,1
93,it_iz_cosmos,0
94,mash_a,1
95,fonarnyy_stolb,1
96,daria__fmn,1
97,elizaveta_ferrer,0
98,bachir_wally_1318,0
99,a.kapla,0
100,sneakers_russia,0
101,nastyapeshkova,0
102,tanya.rs,1
103,divoytenko,1
104,fuckingweapon,1
105,partsernyak,1
106,_trifonova_alexandra,1
107,hs_msk,0
108,bhunter955,0
109,ffruckt,1
110,yaevochka,1
111,temacuba,0
112,okruzhendelami,1
113,iosif3703,0
114,english.cognition,1
115,superstarlilpettyman159x,0
116,lukiinha_guiti,0
117,nikita___myagkov,0
118,sigge12344,0
119,kachni_svoi_insta,0
120,_________4ikibym_____________,0
121,leiko.ena,0
122,i_hate_boys9,0
123,aardeny,1
124,thereallisafromthe352,0
125,toot.3x,0
126,fure_furious,0
127,_valentinavi,0
128,football.ded,0
129,alek.sey6061,0
130,tess_ivoire,0
131,paso_ah_paso_tras_detuspasos,0
132,lilpettyman116x,0
133,jodak.j,0
134,markeel_nicholls,0
135,courison10,0
136,bvnvl,0
