,"@, username",liked post (0/1)
0,endygamedev_,1
1,rinatia_mrmr,1
2,ti.strannii,1
3,aksel_math,1
4,audreyka_a,0
5,_shiza_18,0
6,_l_19_k,1
7,kcerenkov6642021,0
8,dimasik_na_983,0
9,nas.bystrova,0
10,s_a_t_a_n_a___6_6_6,0
11,vlad_esaul_enko,0
12,_h_a_s_s_a__,0
13,abrosimova_10,0
14,sohighplayer8,0
15,i1surovna,0
16,kot.uzumaki,0
17,badmaevenkir,1
18,_andreev_kirill_sergeevich_,0
19,xeniia_v,0
20,coffeewithicecream,0
21,y.s.d.v,0
22,its_alohadance,0
23,__not._cute._2,1
24,b4ndana14,1
25,sakurlife,0
26,vini_pyxx_,0
27,__ideebo_,0
28,p1ligrimage,0
29,_campari2._,0
30,ev.elin85,1
31,sioma.f,0
32,olyachernova13,1
33,vladislav03k,1
34,radaeva_01,1
35,_ablinaa_,1
36,milluvvvv,0
37,mandzhieva_sveta6296,1
38,a.n.n.a.kushnir,1
39,melson_ma,1
40,ruswi0,1
41,sadriev.2001,1
42,evdoki_,1
43,maks_lifaaan2019,1
44,teemlxrd,1
45,alinadevyatochka,0
46,_nnani_7,1
47,zhdanova361,1
48,its.svetaaa,1
49,severstyle21,1
50,kos1x1,0
51,vladaa_vl,0
52,_caaathe_,1
53,lensksadgirl,1
54,shoo_gooop,0
55,_bang_flash_,1
56,bottanikk29,1
57,_matsoni_,1
58,vl_02,1
59,sakurxv,1
60,_ta.17.va_,0
